
Partidos                                        | williamhill      | betstars         | betfair          | bwin            
Elias vs Rola                                   |                  |                  | 183/100 vs 183/100 |                 
Halys vs Bourgue                                |                  |                  | 167/100 vs 41/20 |                 
Couacaud vs Fabbiano                            |                  |                  | 157/100 vs 11/5  |                 
Bachinger vs Agamenone                          |                  |                  | 17/10 vs 2       |                 
Escobedo vs Jung                                |                  |                  | 34/25 vs 72/25   |                 
Mena vs Kopriva                                 |                  |                  | 263/100 vs 36/25 |                 
C Bucsa vs C Hatouka                            |                  |                  | 3/2 vs 23/10     |                 
S Vickery vs S Grabher                          |                  |                  | 9/5 vs 9/5       |                 
U Arconada vs U Yuan                            |                  |                  | 2 vs 41/25       |                 
Parrizas Diaz vs Perez                          |                  |                  | 36/25 vs 11/4    |                 
H Chang vs H Vandeweghe                         |                  |                  | 31/10 vs 32/25   |                 
E Avanesyan vs E Savinykh                       |                  |                  | 41/25 vs 2       |                 
Fernandez/Routliffe vs Xu/Yang                  |                  |                  | 5/2 vs 3/2       | 33/10 vs 13/10  
Kenin/Melichar vs Blinkova/Eikeri               |                  |                  | 13/10 vs 16/5    |                 
C Harrison vs C Volynets                        |                  |                  | 12/5 vs 36/25    |                 
K Nara vs K Ormaechea                           |                  |                  | 34/25 vs 27/10   |                 
Huesler vs Sweeny                               |                  |                  | 3/2 vs 12/5      |                 
Vi Sachko vs Blancaneaux                        |                  |                  | 81/50 vs 43/20   |                 
G Simon vs Van Rijthoven                        |                  |                  | 43/20 vs 81/50   |                 
Caruso vs G Muller                              |                  |                  | 17/10 vs 2       |                 
Giustino vs Grenier                             |                  |                  | 31/10 vs 13/10   |                 
Johnson/Nishioka vs Erlich/Goransson            |                  |                  | 157/100 vs 9/4   |                 
Jurak/Klepac vs Bondarenko/Kichenok             |                  |                  | 36/25 vs 263/100 |                 
Fancutt/Tu vs Kuzmanov/Safwat                   |                  |                  | 9/5 vs 191/100   |                 
De Jong/Haase vs Lehecka/Machac                 |                  |                  | 79/50 vs 9/4     |                 
Fratangelo/Krueger vs Bourchier/Walkin          |                  |                  | 57/50 vs 19/4    |                 
Serdarusic/Van Rijthove vs Charlton/Fitzgerald  |                  |                  | 101/100 vs 11    |                 
Yo Watanuki vs Kukushkin                        |                  |                  | 8/5 vs 11/5      |                 
Soeda vs Yo Wolf                                |                  |                  | 4 vs 6/5         |                 
Wang/Zheng vs Kuzmova/Zvonareva                 |                  |                  | 2 vs 173/100     |                 
Mccabe/Romios vs Basic/Dzumhur                  |                  |                  | 5 vs 57/50       |                 
Griekspoor/Vavassori vs Bhambri/Venus           |                  |                  | 21/10 vs 167/100 |                 
Kicker/Ugo Carabelli vs Ilkel/Kopriva           |                  |                  | 21/10 vs 81/50   |                 
Santillan/Statham vs Huesler/Stricker           |                  |                  | 6 vs 11/10       |                 
Puttergill/Sweeny vs Blancaneaux/Coppejans      |                  |                  | 21/4 vs 28/25    |                 
Rosol/Sachko vs Ellis/Schoolkate                |                  |                  | 67/50 vs 3       |                 
Kerkhove vs Mendez                              |                  |                  | 61/50 vs 4       |                 
Flipkens/Sorribes Tormo vs Krawczyk/McHale      |                  |                  | 21/10 vs 167/100 |                 
Sasnovich vs Mertens                            |                  |                  | 15/4 vs 5/4      |                 
Sasnovich vs Xin Wang                           |                  |                  | 173/100 vs 21/10 |                 
Heisen/Neel vs Kasatkina/Samsonova              |                  |                  | 157/100 vs 9/4   |                 
Giustino/Trungelliti vs Pearson/Pospisil        |                  |                  | 13/10 vs 31/10   |                 
Pervolarakis vs Metreveli                       |                  |                  | 129/100 vs 7/2   |                 
Krajinovic vs Carreno Busta                     |                  |                  | 263/100 vs 3/2   |                 
Hon/Kempenaers-Pocz vs Rogers/Watson            |                  |                  | 9/2 vs 117/100   |                 
Guinard/Kolar vs Ferreira Silva/Horansky        |                  |                  | 29/20 vs 5/2     |                 
Kuhn/Skatov vs Rungkat/Sharan                   |                  |                  | 31/10 vs 33/25   |                 
Kerkhove/Rodionova vs Piter/Voracova            |                  |                  | 157/100 vs 9/4   |                 
Hach Verdugo/Travaglia vs Gombos/Molcan         |                  |                  | 173/100 vs 2     |                 
Lajovic vs Bautista Agut                        |                  |                  | 9/2 vs 121/100   |                 
Tsitsipas vs Basilashvili                       |                  |                  | 61/50 vs 4       | 61/50 vs 409/100
Glasspool/Heliovaara vs Vukic/Winter            |                  |                  | 57/50 vs 5       |                 
Munar vs Anderson                               |                  |                  | 11/4 vs 36/25    | 14/5 vs 71/50   
Hijikata/O'Connell vs Gojowczyk/Seppi           |                  |                  | 21/10 vs 167/100 |                 
Ash Barty vs Gauff                              |                  |                  | 36/25 vs 27/10   |                 
Tiafoe vs Kokkinakis                            |                  |                  | 8/5 vs 119/50    | 33/20 vs 11/5   
Aiava vs Halep                                  |                  |                  | 13/2 vs 111/100  |                 
T Monteiro vs Cilic                             |                  |                  | 7/2 vs 13/10     | 17/5 vs 13/10   
Djere vs Moutet                                 |                  |                  | 11/5 vs 17/10    |                 
Monfils vs Manuel Cerundolo                     |                  |                  | 117/100 vs 5     |                 
Evans vs Isner                                  |                  |                  | 167/100 vs 9/4   |                 
Gasanova vs Doi                                 |                  |                  | 2 vs 183/100     |                 
Tomljanovic vs Sof Kenin                        |                  |                  | 21/10 vs 7/4     |                 
Le Fernandez vs Swiatek                         |                  |                  | 49/20 vs 157/100 |                 
N Osaka vs Zanevska                             |                  |                  | 117/100 vs 5     |                 
Konjuh vs Kanepi                                |                  |                  | 173/100 vs 21/10 |                 
Minnen/Perez vs Aiava/Cabrera                   |                  |                  | 129/100 vs 13/4  |                 
Lohoff/Zimmermann vs Bondar/Krunic              |                  |                  | 9/4 vs 157/100   |                 
Begu vs Paolini                                 |                  |                  | 183/100 vs 191/100 |                 
An Li vs Sevastova                              |                  |                  | 153/100 vs 5/2   |                 
Anisimova vs Cirstea                            |                  |                  | 9/5 vs 2         |                 
D Lajovic vs R Bautista-Agut                    |                  |                  |                  | 19/4 vs 59/50   
